unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Decorative letters and numbers,somethingparty.co.uk,https://12timbers.com/products/forever-family-script?pr_prod_strat=e5_desc&pr_rec_id=cb7f9487a&pr_rec_pid=8043904565486&pr_ref_pid=8043905482990&pr_seq=uniform,https://12timbers.com/products/forever-family-script?pr_prod_strat=e5_desc&pr_rec_id=cb7f9487a&pr_rec_pid=8043904565486&pr_ref_pid=8043905482990&pr_seq=uniform,"The Forever Family Script Wall Letters are a decorative product designed to add a personal touch to any wall. Priced at $91, these wall letters are crafted and assembled in Richfield, UT, ensuring high-quality craftsmanship. The product is available in a variety of colors, including Black, White, Off White, Light Gray, Dark Gray, Red, Chalk Green, and Pink, allowing for customization to match any decor style. The letters are 7 inches in size, making them a noticeable yet unobtrusive addition to your walls. The product is shipped all over the US, providing convenience for customers across the country. The Forever Family Script Wall Letters are ideal for those looking to personalize their living spaces with a touch of elegance and style.",Letters Playful Combo Set,[{'Name': 'None'}],None,['EducationOffice Supplies'],['Birthday CelebrationsAnniversary CelebrationsBusiness Milestone Celebrations'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],['US'],-1,[None],[None],[None],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '40'}]","[{'original': 'Black', 'simple': 'Black'}
 {'original': 'White', 'simple': 'White'}
 {'original': 'Off White', 'simple': 'White'}
 {'original': 'Light Gray', 'simple': 'Gray'}
 {'original': 'Dark Gray', 'simple': 'Gray'}
 {'original': 'Red', 'simple': 'Red'}
 {'original': 'Chalk Green', 'simple': 'Green'}
 {'original': 'Pink', 'simple': 'Pink'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Shipped all over the US'],"""The 'Script Wall Letters' are decorative wall letters crafted in Richfield, Utah, designed to enhance any living space with a personal touch. These letters are available in a range of colors including Black, White, Off White, Light Gray, Dark Gray, Red, Chalk Green, and Pink, catering to diverse decor styles. They are ideal for personalizing home or office walls with elegance and style."""
Decubitus prevention products,adaptivespecialties.com,https://www.adaptivespecialties.com/search.aspx?find=therapy&%3b&%3blow=100.00&%3bhigh=200.00&%3bcategory=26&%3blog=false&%3bmanufacturer=1&log=false&high=50.00&low=25.00,https://www.adaptivespecialties.com/search.aspx?find=therapy&%3b&%3blow=100.00&%3bhigh=200.00&%3bcategory=26&%3blog=false&%3bmanufacturer=1&log=false&high=50.00&low=25.00,"The SERENE AIR 42"" System is a comprehensive air surface pump designed for healthcare settings, particularly for vulnerable clients at high risk for pressure injuries. Manufactured by 5 Minds Mobility Group LLC, this system is identified by the model number SERENEAIR4280 and is part of the Serene Air brand. Priced at $2,910.99, this system is currently eligible for free shipping and ships within 14 days. The system features a dual mode air surface pump that offers Alternating Pressure Therapy (APT) and Pulsation modes, providing a high-performance blower that delivers 120 rpm of Low Air Loss for effective microclimate control. The pump technology includes multiple modes for client care, such as Alternating Pressure Therapy, Pulsation, and Constant Low Pressure (static), along with max inflate and seat inflation for the Fowler position. The system incorporates client weight references into the control panel to ensure the correct level of comfort and firmness, depending on the width of the Serene Air surface being used. The APT mode assists in wound healing and prevention, with four operating cycles (5/10/15/20 min.). Safety and convenience are enhanced with an auto-lock on the settings after five minutes and an accessible CPR release valve at the control pump. The initial inflation takes less than three minutes, and the surface includes a quilted top cover with a high moisture vapor transmission rate (MVTR) and a zippered full-length pocket for an optional 1” high foam base under the cells. The system is suitable for vulnerable clients with high to very high risk for pressure injuries and features true air loss for microclimate control. It has a maximum client weight of up to 920 lb on a 48” mattress and is available in three widths: 36”, 42”, and 48”. The system's dimensions are 8"" H, 42"" W, and 78"" L, with a weight of 35 lbs. It has a low air loss airflow rate of 100LPM and a heel slope. The cover is made of vinyl, and the pump style is blower. The system also includes bed attachment straps and is qualified for recycling. It comes with a thirty-six-month limited warranty and is not returnable, with restrictions or fees applying. The Medicare HCPCS code for this product is E0277, and it carries a CA Prop 65 warning for cancer and reproductive harm.",Bariatric Pressure Relieving Foam Mattress,['Part_Number: 2880-50013580'],Fabrication Enterprises Inc,['Home Furnishings'],['Providing Support And Comfort For Individuals With Limited Mobility And Special Needs'],False,['recyclable and reusable packaging'],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Polyurethane FoamOpen-Cell Viscoelastic Top-Layer FoamPolyester'],[None],[None],-1,[None],[None],['Single unit packaging'],[None],"[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '8'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '42'}
 {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '78'}
 {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '35'}]","[{'original': 'Royal Blue', 'simple': 'Blue'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'medium'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['FDACalifornia Proposition 65'],"['Hook and loop closureDouble-protected soothing pelletsPET pellets are non-toxic, BPA-free, and phthalate-freeTriple-stitched with an additional fabric reinforced edge on the inside of the inner curveFlame-resistant (Class A Barrier)']","The ""Comfort Heart Pillow"" manufactured by Mother Earth Designs, Inc. is crafted from 100% cotton and features recyclable and reusable packaging, emphasizing its eco-friendly attributes. This pillow is designed to provide comfort and support for various body needs, suitable for use as a calming sleep aid, to reduce stress or alleviate stomach, back, or hip pain. It can be heated to relax tense muscles and ease aches, or chilled to reduce swelling and relieve headaches. The pillow is available in two blends: Soothe, which includes lavender, marjoram, cloves, and flaxseed, and No Herb, which contains buckwheat and flaxseed. It is designed for professional use only and does not require a prescription."
Defrosting and defogging systems,russopower.com,https://russopower.com/products/vsi-genesis-push-pal-walk-behind-liquid-deicing-sprayer?pr_prod_strat=e5_desc&pr_rec_id=728270ecf&pr_rec_pid=8381939876145&pr_ref_pid=8381940990257&pr_seq=uniform,https://russopower.com/products/vsi-genesis-push-pal-walk-behind-liquid-deicing-sprayer?pr_prod_strat=e5_desc&pr_rec_id=728270ecf&pr_rec_pid=8381939876145&pr_ref_pid=8381940990257&pr_seq=uniform,"The VSI Legacy Series 1000 Hydraulic Liquid Deicing Sprayer is a robust and versatile piece of equipment designed for efficient deicing applications. Manufactured by VSI by BOSS Snowplow, this sprayer is part of the Legacy Series and boasts a substantial capacity of 1,000 gallons. It is engineered to handle a variety of deicing tasks, making it suitable for both pretreatment and post-treatment applications. The sprayer is completely wireless and controlled via a Bluetooth connection through the VSI Spray Control App, which allows users to track jobs, adjust settings in real-time, and monitor usage data. This feature eliminates the need for a wiring harness, enhancing the system's flexibility and ease of use. The VSI Legacy Series 1000 is capable of handling 10-12 acres in a pretreatment application and 20-30 acres in a post-treatment application. It features GPS Rate Control, which monitors the flow to the boom and adjusts the application rate based on the vehicle's speed, ensuring precise and safe application. The sprayer also includes a self-loading and pump-out system, allowing it to fill from storage tanks or other tanks without the need for additional pumps. This capability makes it highly efficient and reduces the need for frequent refueling. The sprayer's dimensions are 110 inches in length, 60 inches in width, and 87 inches in height, with a weight of 1,200 pounds. It is designed to be user-friendly and efficient, making it an ideal choice for both professional and personal deicing needs. The VSI Legacy Series 1000 is priced at $22,231.99 and is available for in-store purchase. It is important to note that this product can expose users to chemicals known to the State of California to cause cancer, as indicated by the California Proposition 65 warning. Overall, the VSI Legacy Series 1000 Hydraulic Liquid Deicing Sprayer is a high-capacity, wireless, and highly efficient deicing solution, designed to meet the demands of both small and large-scale deicing tasks.",Hydraulic Liquid Deicing Sprayer,[{'Name': 'None'}],VSI by BOSS Snowplow,['Snow removalDeicing'],['Deicing Large-Scale Applications'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 1549.989990234375, 'currency': 'USD', 'type': 'exact'}]",['Stainless Steel'],[None],[None],-1,['Turnkey'],[None],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '110'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '60'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '87'}
 {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '1200'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Fold-down handle for easy transportation and storageNoCo 12V charger includedInterchangeable 5-gallon jugsFan tip or pencil tip applicationWarning label for chemical exposure'],"The ""Liquid Deicing Sprayer"" manufactured by VSI by BOSS Snowplow is designed for efficient deicing and snow removal. It features a compact, fold-down handle for easy transportation and storage, and is constructed from heavy-duty stainless steel for durability. The sprayer includes a NoCo 12V charger and offers interchangeable 5-gallon jugs for extended use. It is equipped with a spray wand for precise application and offers options for fan tip or pencil tip spraying. This product is suitable for various deicing needs and is noted for its ease of use and mobility."
Demonstration furnishings,markawall.com,https://www.markawall.com/MagWall-lined.htm,https://www.markawall.com/MagWall-lined.htm,"The MagWall-Lined Dry Erase Wallcovering is a specialized wallcovering designed to enhance classroom communication and presentation. This product features faint gray, solid, pre-printed lines 2 inches (5 cm) apart, providing a unique and professional appearance. The wallcovering is equipped with a woven backing and the ability to attract magnets, making it ideal for dry erase use. The surface is made from ferrous powdered vinyl, which is flexible yet allows for the use of magnetic lettering and graphics. Additionally, it offers the opportunity to hang posters and charts, ensuring that words and sentences remain in place during presentations. The dry erase top film provides excellent readability and erase ability, making it a practical choice for educational environments. The scrim backing is designed for wallpaper paste, offering a moderate gloss of 40.5 oz/yd². The product is available in linear foot cuts, with a standard roll size of 48 inches by 75 feet and a thickness of 0.029 inches. The minimum cut charge is $16.00, and the price is $45.20 per linear foot. The MagWall-Lined Dry Erase Wallcovering is shipped within 24 hours of order placement, with UPS as the shipping carrier.",Dry Erase Wallcovering,[{'Name': 'None'}],None,['Education'],['classroom communicationpresentation'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'ft', 'value': '75'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '48'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Woven backingScrim backing designed for wallpaper pasteModerate gloss of 40.5 oz/yd²'],"""The 'Dry Erase Wallcovering' is designed to enhance classroom communication and presentation. It features faint gray, solid, pre-printed lines and is equipped with a woven backing and the ability to attract magnets, making it ideal for dry erase use. The surface is made from ferrous powdered vinyl, which is flexible and allows for the use of magnetic lettering and graphics. This product is ideal for educational environments, offering excellent readability and erase ability."""
Dental,xingshenginternational.com,https://www.darbydental.com/scripts/productListView.aspx?Category=Preventive+Products&Manufacturer=3M&Subcategory=Take+Home+Fluoride+%26+Remineralizing+Products&filter=Brand%20Name&filterval=Clinpro%205000&term=&s=c,https://www.darbydental.com/scripts/productListView.aspx?Category=Preventive+Products&Manufacturer=3M&Subcategory=Take+Home+Fluoride+%26+Remineralizing+Products&filter=Brand%20Name&filterval=Clinpro%205000&term=&s=c,"The New World Imports Freshmint Anticavity Flouride Clear Gel Toothpaste is a specialized oral care product designed to provide effective dental hygiene. This toothpaste comes in a clear gel form, which is easy to apply and ensures that the toothpaste is evenly distributed on the teeth. Each tube has a capacity of 6.4 ounces, and the product is packaged in cases containing 48 tubes, making it suitable for bulk purchases. The toothpaste is manufactured by New World Imports and is identified by the model number CG64. It is priced at $60.99 per case. The product is not returnable, but it may be subject to restrictions or fees depending on the specific conditions of sale. This toothpaste is not intended for professional use and does not require a prescription. It is specifically formulated to provide a fresh minty flavor and is designed to help reduce cavities. The product is shipped quickly, with a lead time of one day, and is eligible for free shipping. The New World Imports Freshmint Anticavity Flouride Clear Gel Toothpaste is an excellent choice for those seeking a reliable and effective oral care solution.",Flouride Clear Gel Toothpaste,['Part_Number: CG64'],"Jiangsu Xingsheng Brush Co., Ltd.",['Consumer Goods'],['Dental HygieneCavity Prevention'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Bamboo'],['Calcium PhosphateSodium Fluoride'],[None],-1,['Custom-Built'],[None],[None],[None],"[{'dimension': 'Volume', 'qualitative': False, 'type': 'exact', 'unit': 'ml', 'value': '75'}]","[{'original': 'Light Yellow', 'simple': 'Yellow'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Calcium Phosphate Technology0.011% Sodium Fluoride'],"""The 'Flouride Clear Gel Toothpaste' manufactured by New World Imports is designed for oral hygiene. This clear gel toothpaste is formulated to provide a fresh minty flavor and help reduce cavities. It is packaged in cases of 48 tubes, each with a capacity of 6.4 ounces, and is suitable for bulk purchases."""
Dental and subspecialty instruments and devices,connie-pham-y1v2.squarespace.com,https://shop.benco.com/Search?q=H4sIAAAAAAAACk2OsW7DMAxE%2F4Wzl67eDAM1vDRBBWQJOqgyowqgxIAikSHIv5dpgyDj3ZH37gr7mBHGtwHeY0I9RDLsMB6v%2F%2FojVk%2FhgG1jgQH%2Bcjd2UhO7XntAwqS4wahiePsaYBG2cyi1UJRVsXrdPRpgIuLLZMozi%2FhTsO%2BuRU0LNxhPkbofBTZJd8QcFTNL8Tnu%2FvDlE7uR9qkvUh44H9AS2YZ7Kam0%2FGxZ%2B8z1TKg4R9EXe8GGEilYzujwJ%2Fj2CxRhH%2FkKAQAA,https://shop.benco.com/Search?q=H4sIAAAAAAAACk2OsW7DMAxE%2F4Wzl67eDAM1vDRBBWQJOqgyowqgxIAikSHIv5dpgyDj3ZH37gr7mBHGtwHeY0I9RDLsMB6v%2F%2FojVk%2FhgG1jgQH%2Bcjd2UhO7XntAwqS4wahiePsaYBG2cyi1UJRVsXrdPRpgIuLLZMozi%2FhTsO%2BuRU0LNxhPkbofBTZJd8QcFTNL8Tnu%2FvDlE7uR9qkvUh44H9AS2YZ7Kam0%2FGxZ%2B8z1TKg4R9EXe8GGEilYzujwJ%2Fj2CxRhH%2FkKAQAA,"The Waldent Smart EndoPro with in-built apex locator is a sophisticated cordless endomotor designed for endodontic treatment. This product features a Japanese original motor that offers brilliant and smart optimization, along with a 360-degree adjustable contra-angle and customizable reciprocating angle. It includes a built-in apex locator, making it ideal for simultaneous root canal measurement and independent apex locator measurement using a separate file clamp. The motor operates at a gear ratio of 16:1 and has a speed range of 120-800rpm, with a maximum torque of 3.9 N.cm. It is powered by a 3.7V DC 5V battery and comes with a 1500mAh lithium battery. The device is equipped with a 3.7V battery and includes a 3.7V DC 5V power supply. The Smart EndoPro features a slim body and extremely small head for optimal visibility during procedures. It has flawless safety functions with auto-reverse and auto-forward modes, and an automatic safety stop to minimize the risk of file breakage. The ergonomic design ensures comfort for the dentist, and the contra-angle head is sterilizable and thermo-disinfectable. The reciprocating system reduces the load on the rotary file, facilitating easier operation on multiple quadrants of the oral cavity. The device provides real-time visibility of the file tip position in the canal, with soft start and soft stop operations for enhanced comfort. The Smart EndoPro comes with a variety of features, including continuous forward and reverse rotation, reciprocation, and torque reversal. It has an autoreverse and auto-forward mode with automatic safety stop, and it is equipped with a 9-type present program and 4 working modes. The device weighs 160gm and includes a 1500mAh lithium battery. It also features a built-in over 15 mainstream file system and convenient wireless charging. The package includes the handle, charging base, contra angle (16:1), protective rubber case, file clips, charging wire, lip hooks, measuring wires (double and single head), touch probes, and an instruction manual. The product is priced at Rs. 2,499 and is available for purchase with various payment options. It comes with a manufacturer/importer warranty of 1 year. The Smart EndoPro is designed for use in endodontic treatment, providing a reliable and efficient solution for root canal preparation.",Internal Water Spray Straight Handpiece,['Product_Code: A1001-501'],"Shenzhen Zhiya Technology Co., Ltd.",['EducationHealthcare'],['endodontic procedurescanal negotiationshapingrecapitulation of the root canal system'],False,['partnership with health professionalssupporting professional development and practice growth'],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Stainless SteelMedical-Grade Plastic'],[None],['US'],-1,['Turnkey'],"['Available in various models, each tailored to different tooth types and extraction needs']",['User-friendly formats'],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '5'}
 {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '24'}]","[{'original': 'Pink', 'simple': 'Pink'}
 {'original': 'Golden', 'simple': 'Yellow'}
 {'original': 'Blue', 'simple': 'Blue'}
 {'original': 'Black', 'simple': 'Black'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': 'min', 'unit': 'kPa', 'value': '245.0'}
 {'qualitative': False, 'type': 'max', 'unit': 'kPa', 'value': '392.0'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['CEISO'],"['Ceramic ball bearing with lightPush-button cartridge for easy bur changesBordon 2-Hole connectionSelf-illumination feature3-jet water spray systemAutoclavable at 135℃Uses good quality oil like W&H, NSK, and Kavo for lubrication']","The ""Dental Hand File"" is a dental hand file designed for endodontic procedures, manufactured by twisting or grinding a square or triangular tapered shaft. It features four cutting edges and a 60° tip with a 135° cutting angle, making it suitable for canal negotiation, shaping, and recapitulation of the root canal system. This file can also be used as a pre-bent file in curved canals. It is made of high-quality stainless steel, ensuring rust-proofing, passivation, and ultrasonic cleaning. The handles are made of medical-grade plastic, and the blades are made of a special stainless steel alloy for high elasticity and tensile strength."
Dental clinical furniture,darbydental.com,https://www.darbydental.com/scripts/productListView.aspx?Manufacturer=Euronda&filter=Manufacturer&filterval=Ousia&term=&s=c,https://www.darbydental.com/scripts/productListView.aspx?Manufacturer=Euronda&filter=Manufacturer&filterval=Ousia&term=&s=c,Dental cups designed for the storage and dispensing of dental supplies. These cups are essential for maintaining hygiene and order in dental practices.,Dental Cups,[{'Name': 'None'}],None,['Healthcare'],['storage and dispensing of dental supplies'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Dental Cups"" are dental cups designed for the storage and dispensing of dental supplies, essential for maintaining hygiene and order in dental practices."
Dental fillers and finishing and polishing supplies,carnegiesurgical.com,https://www.darbydental.com/scripts/productListView.aspx?Category=Finishing+and+Polishing&Subcategory=Composite+Finishing+Products&filter=Manufacturer&filterval=3M&unfilter=1&term=,https://www.darbydental.com/scripts/productListView.aspx?Category=Finishing+and+Polishing&Subcategory=Composite+Finishing+Products&filter=Manufacturer&filterval=3M&unfilter=1&term=,"Ball-Shaped Burnishers are dental instruments used in restorative dentistry to shape and contour dental materials. They feature rounded working ends that apply controlled pressure to achieve smooth and polished surfaces on restorations. These burnishers are available in various shapes and sizes to accommodate different clinical needs. They are made from high-quality materials for durability and ease of sterilization, ensuring precise and effective shaping of dental materials in restorative procedures. The price range for Ball-Shaped Burnishers is between $20.99 and $26.99.",Contouring and Polishing System,[{'Name': 'None'}],DenMat,['HealthcareDental'],['Contouring And Polishing Composite Materials'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Composite Materials'],[None],[None],-1,[None],['Available in various colors'],[None],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.375'}]","[{'original': 'Light Blue', 'simple': 'Blue'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'low'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Rounded working endsControlled pressure applicationEase of sterilization'],"""Ball-Shaped Burnishers"" are dental instruments used in restorative dentistry to shape and contour dental materials. They feature rounded working ends that apply controlled pressure to achieve smooth and polished surfaces on restorations. These burnishers are designed for durability and ease of sterilization, making them suitable for precise and effective shaping in restorative procedures."
Dental hygiene and preventive care equipment and supplies,thecleaningstation.com,https://www.darbydental.com/scripts/productListView.aspx?Category=Rubber+Dam&filter=Subcategory&filterval=Non-Latex%20Dental%20Dam&term=&Category=Rubber%20Dam&s=c,https://www.darbydental.com/scripts/productListView.aspx?Category=Rubber+Dam&filter=Subcategory&filterval=Non-Latex%20Dental%20Dam&term=&Category=Rubber%20Dam&s=c,"The GotFreshBreath Automatic Mouthwash Dispenser is a state-of-the-art oral hygiene solution designed to enhance convenience and efficiency in high-traffic areas such as offices, gyms, spas, and home bathrooms. This dispenser is touch-free, ensuring a hygienic and germ-free environment by eliminating the need for disposable cups. It features a robust and durable design, capable of withstanding high use, and is available in black and white, with an option for a chrome color for extended lead times. The dispenser is compact, measuring 10"" x 18"" x 4"", and includes a hands-free electronic valve for ease of use. It offers user-defined mouthwash portions to prevent excess usage and is compatible exclusively with GotFreshBreath Slim Mouthwash Refills, which come with six 1.5-liter bottles and a box of 600 cups, providing an average supply for high-volume locations around a month. The dispenser is designed for both wall-mounting and self-standing installation, with the recommendation to mount it to the wall to prevent accidental damage. The product is priced at $115.95 and ships within 4-5 weeks, with shipping calculated at checkout. The GotFreshBreath Automatic Mouthwash Dispenser is an eco-friendly and sustainable choice, promoting zero waste by streamlining oral hygiene routines and reducing ecological impact.",Dental Waterline Cleaner Shock Tablets,['Product_Code: 9542683'],Universal Flavour and Fragrances,['Hospitality'],['Maintaining Oral HygieneRemoving BacteriaFreshening Breath'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Stainless Steel'],[None],[None],-1,[None],['Disposable air/water syringe tip designed for use with the Seal-Tight system'],['Cartons'],['Tablets'],"[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '10'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '18'}
 {'dimension': 'Depth', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '4'}]","[{'original': 'Black', 'simple': 'Black'}
 {'original': 'White', 'simple': 'White'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['ISO01800510'],['Touch-free operationRobust and durable designHands-free electronic valveUser-defined mouthwash portionsCompatible with GotFreshBreath Slim Mouthwash RefillsWall-mounting and self-standing installation options'],"The ""Automatic Mouthwash Dispenser"" is designed for high-traffic areas such as offices, gyms, spas, and home bathrooms, offering a touch-free, hygienic, and germ-free solution for oral hygiene. This dispenser features a robust, durable design and is compatible exclusively with GotFreshBreath Slim Mouthwash Refills. It is compact, allowing for both wall-mounting and self-standing installation, and includes user-defined mouthwash portions to prevent excess usage. The product promotes sustainability by streamlining oral hygiene routines and reducing ecological impact."
Dental imaging equipment and supplies,leica-microsystems.com,https://sedo.my.id/product/1005004550104991-dual-uv-infrared-flame-detetor-sensor-flame-uv-waterproof-uvir-flame-detector/,https://sedo.my.id/product/1005004550104991-dual-uv-infrared-flame-detetor-sensor-flame-uv-waterproof-uvir-flame-detector/,"Digital Dentistry solutions from Al Shamil Dental Lab are designed to meet the comprehensive needs of dental professionals. These solutions are compatible with scans from any intraoral scanner on the market, ensuring versatility and adaptability to various dental practices. The lab provides comprehensive support and information to help dental professionals streamline and simplify the digital impression process. This capability allows for seamless integration of digital dentistry into existing dental practices, enhancing efficiency and accuracy in dental impressions. The digital dentistry services are supported by a robust infrastructure that ensures high-quality scanning and processing capabilities. The lab's commitment to innovation and technological advancement ensures that dental professionals have access to the latest tools and techniques for modern dental care.",Digital Dentistry Solutions,[{'Name': 'None'}],Al Shamil Dental Lab,['Healthcare'],['Dental ImpressionsDigital Dentistry'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],['Customization of digital dentistry solutions for dental professionals'],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Seamless integration with intraoral scannersRobust infrastructure for scanning and processing'],"""Digital Dentistry Solutions"" solutions from Al Shamil Dental Lab are designed to enhance dental professionals' capabilities in digital impression processes. These solutions are compatible with scans from any intraoral scanner, ensuring adaptability across various dental practices. The lab supports dental professionals by providing comprehensive services and information to streamline the digital impression process, enhancing efficiency and accuracy in dental impressions. The lab's commitment to innovation and technological advancement ensures access to the latest tools and techniques for modern dental care."
